employee_id,name,initials,department,role,day,login_hour,files_accessed,privilege_attempts,emails_sent,usb_events,sentiment_score
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,1,9,20,0,27,0,0.52
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,2,9,18,0,17,0,0.34
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,3,7,18,0,21,0,0.37
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,4,7,17,0,32,0,0.54
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,5,7,22,0,18,0,0.33
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,6,8,18,0,18,0,0.54
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,7,9,11,0,20,1,0.51
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,8,9,15,0,23,0,0.4
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,9,9,12,0,18,0,0.57
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,10,9,25,0,18,0,0.39
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,11,9,25,0,19,0,0.66
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,12,8,25,0,14,0,0.47
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,13,9,28,0,27,0,0.42
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,14,8,13,0,24,0,0.48
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,15,10,18,0,17,0,0.56
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,16,10,22,0,26,0,0.51
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,17,8,19,0,12,0,0.1
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,18,9,19,0,22,0,0.46
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,19,10,21,0,19,1,0.48
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,20,7,15,0,20,0,0.42
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,21,8,22,0,14,1,0.6
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,22,7,17,0,15,0,0.69
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,23,9,31,0,17,0,0.74
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,24,9,21,0,23,0,0.3
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,25,7,28,0,18,0,0.43
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,26,9,26,0,26,0,0.86
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,27,9,24,0,13,0,0.57
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,28,10,22,0,20,0,0.3
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,29,7,24,0,23,0,0.6
EMP-001,Marcus Webb,MW,Engineering,Senior DevOps Engineer,30,10,23,0,15,0,0.5
EMP-002,Priya Nair,PN,Finance,Financial Analyst,1,7,18,0,21,0,0.62
EMP-002,Priya Nair,PN,Finance,Financial Analyst,2,9,36,0,12,0,0.43
EMP-002,Priya Nair,PN,Finance,Financial Analyst,3,7,25,0,23,0,0.42
EMP-002,Priya Nair,PN,Finance,Financial Analyst,4,9,20,0,25,0,0.39
EMP-002,Priya Nair,PN,Finance,Financial Analyst,5,8,16,0,21,0,0.47
EMP-002,Priya Nair,PN,Finance,Financial Analyst,6,7,28,0,24,0,0.6
